"Highway 001 ALL ROAD TYPES, MP 299 to 308.63, Both Add and Non-Add mileage, 01/01/2016 to 12/31/2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Date,Day,Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRASH_ID,SER_NO,INVSTG_AGY_SHORT_DESC,CRASH_SPEED_INVLV_FLG,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,MJ_INVLV_FLG,SCHL_ZONE_IND,WRK_ZONE_IND,LANE RDWY DPRT CRASH FLG,UNLOCT FLG,CRASH_DT,CRASH_WK_DAY_CD,CRASH_HR_SHORT_DESC,CNTY_NM,CITY_SECT_NM,URB_AREA_SHORT_NM,HWY_NO,HWY_MED_NM,RDWY_NO,FC_CD,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,RD_CON_NO,LRS VAL,MP_NO,ST_NO,ST_NM,ISECT_ST_NO,ISECT_ST_NM,RD_CHAR_CD,RD_CHAR_SHORT_DESC,CMPSS_DIR_CD,CMPSS_DIR_FROM_CD,CMPSS_DIR_SHORT_DESC,IMPCT_LOC_CD,ISECT_TYP_SHORT_DESC,MEDN_TYP_SHORT_DESC,TURNG_LEG_QTY,LN_QTY,ISECT_REL_FLG,TRAF_CNTL_DEVICE_SHORT_DESC,OFF_RDWY_FLG,RNDABT_FLG,DRVWY_REL_FLG,WTHR_COND_SHORT_DESC,RD_SURF_SHORT_DESC,LGT_COND_SHORT_DESC,CRASH_TYP_SHORT_DESC,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_2_CD,CRASH_EVNT_3_CD,CRASH_CAUSE_1_CD,CRASH_CAUSE_2_CD,CRASH_CAUSE_3_CD,LAT DEG NO,LAT MINUTE NO,LAT SEC NO,LONGTD DEG NO,LONGTD MINUTE NO,LONGTD SEC NO,VHCL_ID,STRIKG_VHCL_FLG,VHCL_CODED_SEQ_NO,VHCL_TYP_SHORT_DESC,VHCL_USE_SHORT_DESC,TRLR_QTY,VHCL_OWNSHP_SHORT_DESC,VHCL_MVMNT_SHORT_DESC,VHCL_CMPSS_DIR_FROM_SHORT_DESC,VHCL_CMPSS_DIR_TO_SHORT_DESC,VHCL_ACTN_CD,VHCL_EVNT_1_CD,VHCL_EVNT_2_CD,VHCL_EVNT_3_CD,VHCL_CAUSE_1_CD,VHCL_CAUSE_2_CD,VHCL_CAUSE_3_CD,PARTIC_ID,STRIKG_PARTIC_FLG,PARTIC_VHCL_SEQ_NO,PARTIC_TYP_CD,PARTIC_TYP_SHORT_DESC,PARTIC_MVMNT_SHORT_DESC,PARTIC_CMPSS_DIR_FROM_SHORT_DESC,PARTIC_CMPSS_DIR_TO_SHORT_DESC,INJ_SVRTY_SHORT_DESC,AGE_VAL,SEX_CD,DRVR_LIC_STAT_SHORT_DESC,DRVR_RES_SHORT_DESC,PARTIC_ACTN_CD,NON_MOTRST_LOC_SHORT_DESC,PARTIC_ERR_1_CD,PARTIC_ERR_2_CD,PARTIC_ERR_3_CD,PARTIC_EVNT_1_CD,PARTIC_EVNT_2_CD,PARTIC_EVNT_3_CD,PARTIC_CAUSE_1_CD,PARTIC_CAUSE_2_CD,PARTIC_CAUSE_3_CD,TOTAL_CRASHES,TOTAL_ROWS
1655977,41,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,302.54,322,PACIFIC HY I-5,9432,SB EX VANCOUVER C3,3,STRGHT,1,,N,7,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-STRGHT,SS-O,INJ,44,,,13,,,45,32,15.93,-122,40,9.09,3126496,1,1,UNKNOWN,UNKN,,UNKN,STRGHT,N,S,0,,,,0,,,3565319,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,45,,,,,,13,,,717,1693
1655977,41,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,302.54,322,PACIFIC HY I-5,9432,SB EX VANCOUVER C3,3,STRGHT,1,,N,7,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-STRGHT,SS-O,INJ,44,,,13,,,45,32,15.93,-122,40,9.09,3126497,0,2,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,44,13,,0,,,3565320,0,1,1,DRVR,,,,NONE,20,1,OR-Y,OR<25,0,,0,,,,,,0,,,717,1693
1655977,41,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,302.54,322,PACIFIC HY I-5,9432,SB EX VANCOUVER C3,3,STRGHT,1,,N,7,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-STRGHT,SS-O,INJ,44,,,13,,,45,32,15.93,-122,40,9.09,3126498,0,3,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,,,,0,,,3565321,0,1,1,DRVR,,,,INJC,30,1,OR-Y,OR<25,0,,0,,,,,,0,,,717,1693
1655977,41,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,302.54,322,PACIFIC HY I-5,9432,SB EX VANCOUVER C3,3,STRGHT,1,,N,7,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-STRGHT,SS-O,INJ,44,,,13,,,45,32,15.93,-122,40,9.09,3126498,0,3,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,,,,0,,,3565322,0,2,2,PSNG,,,,INJC,31,2,,,0,,0,,,,,,0,,,717,1693
1673050,23,NO RPT,1,0,0,0,0,0,N,FALSE,1/2/2016,7,3P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.24,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,5,,NONE,,3,0,UNKNOWN,0,0,0,CLR,ICE,DAY,S-1STOP,REAR,PDO,124,,,1,29,,45,36,58.49,-122,40,35.63,3158566,1,1,PSNGR CAR,NONE,9,N/A,STRGHT,N,S,0,,,,0,,,3605502,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1673050,23,NO RPT,1,0,0,0,0,0,N,FALSE,1/2/2016,7,3P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.24,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,5,,NONE,,3,0,UNKNOWN,0,0,0,CLR,ICE,DAY,S-1STOP,REAR,PDO,124,,,1,29,,45,36,58.49,-122,40,35.63,3158567,0,2,PSNGR CAR,NONE,9,N/A,STOP,N,S,11,,,,0,,,3605503,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126304,1,1,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,13,,,0,,,3565100,0,1,1,DRVR,,,,NONE,20,1,OTH-Y,N-RES,0,,26,,,131,,,29,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126305,0,2,PSNGR CAR,NONE,,PRVTE,STOP,N,S,11,,,,0,,,3565101,0,1,1,DRVR,,,,NONE,45,2,OTH-Y,N-RES,0,,0,,,,,,0,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126305,0,2,PSNGR CAR,NONE,,PRVTE,STOP,N,S,11,,,,0,,,3565102,0,2,2,PSNG,,,,INJC,18,2,,,0,,0,,,,,,0,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126306,0,3,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,13,,,0,,,3565103,0,1,1,DRVR,,,,NONE,0,1,UNK,N-RES,0,,26,,,131,,,29,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126307,0,4,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,13,,,0,,,3565104,0,1,1,DRVR,,,,INJC,19,2,OTH-Y,N-RES,0,,26,,,131,,,29,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126307,0,4,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,13,,,0,,,3565105,0,2,2,PSNG,,,,INJC,13,1,,,0,,0,,,,,,0,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126307,0,4,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,13,,,0,,,3565106,0,3,2,PSNG,,,,INJB,19,2,,,0,,0,,,,,,0,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126307,0,4,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,13,,,0,,,3565107,0,4,2,PSNG,,,,INJC,17,2,,,0,,0,,,,,,0,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126308,0,5,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,,,,0,,,3565108,0,1,1,DRVR,,,,NONE,25,1,OTH-Y,N-RES,0,,26,,,131,,,29,,,717,1693
1656019,47,CITY,0,0,0,0,0,0,N,FALSE,1/2/2016,7,1A,Multnomah,Portland NE,PORTLAND UA,1,PACIFIC,1,11,6,CN,0,1,0001TJ100S00,302.28,2620,NE WEIDLER ST,9434,NB EX WEIDLER C1,1,INTER,9,,CN,2,CROSS,,0,,0,TRF SIGNAL,0,0,0,CLR,DRY,DLIT,ANGL-OTH,ANGL,INJ,,,,2,14,,45,32,3.73,-122,39,56.59,3126578,1,1,PSNGR CAR,NONE,,PRVTE,STRGHT,S,N,0,,,,0,,,3565400,0,1,1,DRVR,,,,INJC,37,1,EXP,OR<25,0,,20,28,,,,,2,14,,717,1693
1656019,47,CITY,0,0,0,0,0,0,N,FALSE,1/2/2016,7,1A,Multnomah,Portland NE,PORTLAND UA,1,PACIFIC,1,11,6,CN,0,1,0001TJ100S00,302.28,2620,NE WEIDLER ST,9434,NB EX WEIDLER C1,1,INTER,9,,CN,2,CROSS,,0,,0,TRF SIGNAL,0,0,0,CLR,DRY,DLIT,ANGL-OTH,ANGL,INJ,,,,2,14,,45,32,3.73,-122,39,56.59,3126578,1,1,PSNGR CAR,NONE,,PRVTE,STRGHT,S,N,0,,,,0,,,3565401,0,2,2,PSNG,,,,INJC,33,1,,,0,,0,,,,,,0,,,717,1693
1656019,47,CITY,0,0,0,0,0,0,N,FALSE,1/2/2016,7,1A,Multnomah,Portland NE,PORTLAND UA,1,PACIFIC,1,11,6,CN,0,1,0001TJ100S00,302.28,2620,NE WEIDLER ST,9434,NB EX WEIDLER C1,1,INTER,9,,CN,2,CROSS,,0,,0,TRF SIGNAL,0,0,0,CLR,DRY,DLIT,ANGL-OTH,ANGL,INJ,,,,2,14,,45,32,3.73,-122,39,56.59,3126578,1,1,PSNGR CAR,NONE,,PRVTE,STRGHT,S,N,0,,,,0,,,3565402,0,3,2,PSNG,,,,INJC,11,1,,,0,,0,,,,,,0,,,717,1693
1656019,47,CITY,0,0,0,0,0,0,N,FALSE,1/2/2016,7,1A,Multnomah,Portland NE,PORTLAND UA,1,PACIFIC,1,11,6,CN,0,1,0001TJ100S00,302.28,2620,NE WEIDLER ST,9434,NB EX WEIDLER C1,1,INTER,9,,CN,2,CROSS,,0,,0,TRF SIGNAL,0,0,0,CLR,DRY,DLIT,ANGL-OTH,ANGL,INJ,,,,2,14,,45,32,3.73,-122,39,56.59,3126579,0,2,PSNGR CAR,NONE,,PRVTE,STRGHT,E,W,0,,,,0,,,3565403,0,1,1,DRVR,,,,INJC,54,1,OR-Y,OR<25,0,,0,,,,,,0,,,717,1693
1695603,44,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,12P,Multnomah,Portland NE,PORTLAND UA,1,PACIFIC,1,11,6,CN,0,1,0001TJ100S00,302.28,2620,NE WEIDLER ST,9434,NB EX WEIDLER C1,1,INTER,9,,CN,4,CROSS,,0,,0,TRF SIGNAL,0,0,0,CLR,DRY,DAY,ANGL-OTH,ANGL,PDO,,,,4,,,45,32,3.73,-122,39,56.59,3200720,1,1,PSNGR CAR,NONE,9,N/A,STRGHT,S,N,0,,,,0,,,3653743,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1695603,44,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,12P,Multnomah,Portland NE,PORTLAND UA,1,PACIFIC,1,11,6,CN,0,1,0001TJ100S00,302.28,2620,NE WEIDLER ST,9434,NB EX WEIDLER C1,1,INTER,9,,CN,4,CROSS,,0,,0,TRF SIGNAL,0,0,0,CLR,DRY,DAY,ANGL-OTH,ANGL,PDO,,,,4,,,45,32,3.73,-122,39,56.59,3200721,0,2,PSNGR CAR,NONE,9,N/A,STRGHT,W,E,0,,,,0,,,3653744,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1656383,135,NO RPT,1,0,0,0,0,0,Y,FALSE,1/3/2016,1,8A,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,303.34,322,PACIFIC HY I-5,9430,SB EX FREMONT BR,5,CURVE,4,,SE,7,,RSDMD,,4,0,ONE-WAY,1,0,0,SNOW,ICE,DAY,FIX OBJ,FIX,INJ,44,124,,1,,,45,32,48.96,-122,40,42.38,3127252,1,1,PSNGR CAR,NONE,,PRVTE,STRGHT,NW,SE,1,44,124,,0,,,3566139,0,1,1,DRVR,,,,INJB,24,2,OR-Y,OR<25,0,,47,,,,,,1,,,717,1693
1695308,86,NONE,1,0,0,0,0,0,N,FALSE,1/3/2016,1,11A,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,303.5,322,PACIFIC HY I-5,9430,SB EX FREMONT BR,3,STRGHT,8,,NW,10,,RSDMD,,8,0,MEDIAN BAR,0,0,0,SNOW,ICE,DAY,S-STRGHT,REAR,PDO,,,,1,,,45,32,57.19,-122,40,43.51,3200213,1,1,PSNGR CAR,NONE,9,N/A,STRGHT,NW,SE,0,,,,0,,,3653245,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1695308,86,NONE,1,0,0,0,0,0,N,FALSE,1/3/2016,1,11A,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,303.5,322,PACIFIC HY I-5,9430,SB EX FREMONT BR,3,STRGHT,8,,NW,10,,RSDMD,,8,0,MEDIAN BAR,0,0,0,SNOW,ICE,DAY,S-STRGHT,REAR,PDO,,,,1,,,45,32,57.19,-122,40,43.51,3200214,0,2,PSNGR CAR,NONE,9,N/A,STRGHT,NW,SE,0,,,,0,,,3653246,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1656396,144,NONE,1,0,0,0,0,0,N,FALSE,1/4/2016,2,10P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,303.5,322,PACIFIC HY I-5,9430,SB EX FREMONT BR,3,STRGHT,4,,SE,9,,RSDMD,,8,0,ONE-WAY,0,0,0,RAIN,WET,DLIT,S-STRGHT,REAR,INJ,,,,1,29,,45,32,57.19,-122,40,43.51,3127277,1,1,PSNGR CAR,NONE,,PRVTE,STRGHT,NW,SE,0,,,,0,,,3566164,0,1,1,DRVR,,,,NONE,37,1,OR-Y,UNK,0,,42,,,,,,1,29,,717,1693
1656396,144,NONE,1,0,0,0,0,0,N,FALSE,1/4/2016,2,10P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,303.5,322,PACIFIC HY I-5,9430,SB EX FREMONT BR,3,STRGHT,4,,SE,9,,RSDMD,,8,0,ONE-WAY,0,0,0,RAIN,WET,DLIT,S-STRGHT,REAR,INJ,,,,1,29,,45,32,57.19,-122,40,43.51,3127278,0,2,PSNGR CAR,NONE,,PRVTE,STRGHT,NW,SE,0,,,,0,,,3566165,0,1,1,DRVR,,,,INJC,60,2,OR-Y,OR<25,0,,0,,,,,,0,,,717,1693
1687586,235,NONE,0,0,0,0,0,0,N,FALSE,1/6/2016,4,9A,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,304.98,322,PACIFIC HY I-5,9420,SB EX PTLD BLVD C3,3,STRGHT,1,,N,5,,RSDMD,,4,0,UNKNOWN,0,0,0,RAIN,WET,DAY,S-1STOP,REAR,PDO,,,,7,,,45,34,14.03,-122,40,43.37,3186607,1,1,PSNGR CAR,NONE,9,N/A,STRGHT,N,S,0,,,,0,,,3640029,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1687586,235,NONE,0,0,0,0,0,0,N,FALSE,1/6/2016,4,9A,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,304.98,322,PACIFIC HY I-5,9420,SB EX PTLD BLVD C3,3,STRGHT,1,,N,5,,RSDMD,,4,0,UNKNOWN,0,0,0,RAIN,WET,DAY,S-1STOP,REAR,PDO,,,,7,,,45,34,14.03,-122,40,43.37,3186608,0,2,UNKNOWN,NONE,9,N/A,STOP,N,S,11,,,,0,,,3640030,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1656674,317,NONE,0,0,0,0,0,0,N,FALSE,1/8/2016,6,10A,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,302.58,322,PACIFIC HY I-5,9433,NB EF WILLIAMS C2,3,STRGHT,4,,SE,3,,RSDMD,,6,0,UNKNOWN,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,,,,7,,,45,32,15.39,-122,40,7.89,3127784,1,1,PSNGR CAR,NONE,0,PRVTE,STRGHT,SE,NW,0,,,,0,,,3566713,0,1,1,DRVR,,,,NONE,34,1,OR-Y,OR>25,0,,26,,,,,,7,,,717,1693
1656674,317,NONE,0,0,0,0,0,0,N,FALSE,1/8/2016,6,10A,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,302.58,322,PACIFIC HY I-5,9433,NB EF WILLIAMS C2,3,STRGHT,4,,SE,3,,RSDMD,,6,0,UNKNOWN,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,,,,7,,,45,32,15.39,-122,40,7.89,3127785,0,2,PSNGR CAR,NONE,0,PRVTE,STOP,SE,NW,11,,,,0,,,3566714,0,1,1,DRVR,,,,NONE,56,1,OR-Y,OR<25,0,,0,,,,,,0,,,717,1693
1656674,317,NONE,0,0,0,0,0,0,N,FALSE,1/8/2016,6,10A,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,302.58,322,PACIFIC HY I-5,9433,NB EF WILLIAMS C2,3,STRGHT,4,,SE,3,,RSDMD,,6,0,UNKNOWN,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,,,,7,,,45,32,15.39,-122,40,7.89,3127785,0,2,PSNGR CAR,NONE,0,PRVTE,STOP,SE,NW,11,,,,0,,,3566715,0,2,2,PSNG,,,,INJC,55,2,,,0,,0,,,,,,0,,,717,1693
1687950,314,CITY,0,0,0,0,0,0,N,FALSE,1/8/2016,6,3P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,306.38,322,PACIFIC HY I-5,9412,NB EX VICTORY BV C1,3,STRGHT,5,,S,6,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,PDO,,,,29,,,45,35,26.33,-122,40,55.32,3187235,1,1,PSNGR CAR,NONE,9,N/A,STRGHT,S,N,0,,,,0,,,3640640,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1687950,314,CITY,0,0,0,0,0,0,N,FALSE,1/8/2016,6,3P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,306.38,322,PACIFIC HY I-5,9412,NB EX VICTORY BV C1,3,STRGHT,5,,S,6,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,PDO,,,,29,,,45,35,26.33,-122,40,55.32,3187236,0,2,PSNGR CAR,NONE,9,N/A,STOP,S,N,11,,,,0,,,3640641,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1656773,348,CITY,1,0,0,0,0,0,N,FALSE,1/9/2016,7,5P,Multnomah,Portland SW,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,299.48,306,PACIFIC HY I-5,9492,NB EX MARQUAM BR,3,STRGHT,5,,S,3,,RSDMD,,6,0,UNKNOWN,0,0,0,CLR,DRY,DARK,S-STRGHT,REAR,INJ,,,,32,7,1,45,29,49.61,-122,40,23.79,3127965,1,1,PSNGR CAR,NONE,0,PRVTE,STRGHT,S,N,0,,,,0,,,3566940,0,1,1,DRVR,,,,NONE,22,1,NONE,OR<25,0,,52,43,47,,,,32,7,1,717,1693
1656773,348,CITY,1,0,0,0,0,0,N,FALSE,1/9/2016,7,5P,Multnomah,Portland SW,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,299.48,306,PACIFIC HY I-5,9492,NB EX MARQUAM BR,3,STRGHT,5,,S,3,,RSDMD,,6,0,UNKNOWN,0,0,0,CLR,DRY,DARK,S-STRGHT,REAR,INJ,,,,32,7,1,45,29,49.61,-122,40,23.79,3127966,0,2,PSNGR CAR,NONE,0,PRVTE,STRGHT,S,N,6,,,,0,,,3566941,0,1,1,DRVR,,,,INJC,49,2,OR-Y,OR<25,0,,0,,,,,,0,,,717,1693
1656773,348,CITY,1,0,0,0,0,0,N,FALSE,1/9/2016,7,5P,Multnomah,Portland SW,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,299.48,306,PACIFIC HY I-5,9492,NB EX MARQUAM BR,3,STRGHT,5,,S,3,,RSDMD,,6,0,UNKNOWN,0,0,0,CLR,DRY,DARK,S-STRGHT,REAR,INJ,,,,32,7,1,45,29,49.61,-122,40,23.79,3127966,0,2,PSNGR CAR,NONE,0,PRVTE,STRGHT,S,N,6,,,,0,,,3566942,0,2,2,PSNG,,,,INJC,49,2,,,0,,0,,,,,,0,,,717,1693
1688136,384,NONE,0,0,0,0,0,0,N,FALSE,1/10/2016,1,4P,Multnomah,Portland NE,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,302.21,302,PACIFIC HY I-5,9434,NB EX WEIDLER C1,3,STRGHT,8,,NW,3,,RSDMD,,6,0,UNKNOWN,0,0,0,CLR,DRY,DAY,S-STRGHT,REAR,PDO,,,,29,,,45,31,59.46,-122,39,56.19,3187576,1,1,PSNGR CAR,NONE,9,N/A,STRGHT,SE,NW,0,,,,0,,,3640974,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1688136,384,NONE,0,0,0,0,0,0,N,FALSE,1/10/2016,1,4P,Multnomah,Portland NE,PORTLAND UA,1,PACIFIC,2,11,0,MN,0,,000100200S00,302.21,302,PACIFIC HY I-5,9434,NB EX WEIDLER C1,3,STRGHT,8,,NW,3,,RSDMD,,6,0,UNKNOWN,0,0,0,CLR,DRY,DAY,S-STRGHT,REAR,PDO,,,,29,,,45,31,59.46,-122,39,56.19,3187577,0,2,PSNGR CAR,NONE,9,N/A,STRGHT,SE,NW,6,,,,0,,,3640975,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
