crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,crash_severity,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond
1661385,2016-02-28,10:00:00,SUNDAY,Portland N,1,305.5,45.578178,-122.677781,CN,CURVE,NB EX LOMBARD WB C2,322,1,INJ,1067.00,58.67,Light Rain,RAIN,0.0212,51.81,5.6,1,9,WET,DAY
1661466,2016-03-09,21:00:00,WEDNESDAY,Portland N,1,305.5,45.577225,-122.6775,CN,INTER,N LOMBARD ST,9418,,INJ,674.00,59.67,Drizzle,RAIN,0.0031,51.44,2.92,1,9,WET,DLIT
1661565,2016-02-29,00:00:00,MONDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,INJ,215.00,56.50,Mostly Cloudy,CLR,0,46.2,1.25,0.79,9,DRY,DAY
1661583,2016-02-29,08:00:00,MONDAY,Portland N,1,307.5,45.602969,-122.683217,MN,STRGHT,PACIFIC HY I-5,609,6,INJ,775.00,60.67,Light Rain,RAIN,0.0196,45.52,0.76,1,6,WET,DAY
1661765,2016-03-11,18:00:00,FRIDAY,Portland NE,1,301.5,45.525803,-122.665444,MN,STRGHT,PACIFIC HY I-5,9448,6,INJ,983.00,25.50,Possible Drizzle,CLR,0.002,51.81,2.92,1,9,DRY,DAY
1662040,2016-03-20,15:00:00,SUNDAY,Portland NE,1,302,45.528903,-122.665375,MN,STRGHT,PACIFIC HY I-5,9436,6,INJ,1081.00,49.50,Light Rain,RAIN,0.0236,53.43,4.03,1,9,WET,DAY
1662095,2016-03-13,18:00:00,SUNDAY,Portland NE,1,301.5,45.525653,-122.665453,MN,STRGHT,PACIFIC HY I-5,9448,4,INJ,1198.00,39.00,Drizzle,CLR,0.007,48.4,6.03,0.73,9,DRY,DAY
1662104,2016-03-19,12:00:00,SATURDAY,Portland N,1,308,45.613236,-122.678344,MN,BRIDGE,PACIFIC HY I-5,9458,6,INJ,1074.00,18.33,Partly Cloudy,CLD,0,60.28,8.05,0.4,9,DRY,DLIT
1662231,2016-03-14,15:00:00,MONDAY,Portland Bridges,1,300.5,45.508219,-122.668672,MN,BRIDGE,MARQUAM BRIDGE,9453,6,INJ,462.00,59.67,Drizzle,RAIN,0.0117,49.48,8.96,1,8,WET,DAY
1662257,2016-03-21,06:00:00,MONDAY,Portland NE,1,302.5,45.534369,-122.665719,CN,INTER,NE WEIDLER ST,9434,,INJ,1485.00,43.50,Light Rain,RAIN,0.0201,48.11,1.01,1,9,WET,DAY
1662475,2016-03-23,15:00:00,WEDNESDAY,Portland N,1,302.5,45.536883,-122.667986,CN,STRGHT,NB EF WILLIAMS C2,2639,2,INJ,1240.00,44.50,Overcast,RAIN,0,53.43,4.24,1,9,WET,DAY
1662532,2016-03-23,00:00:00,WEDNESDAY,Portland N,1,305,45.570839,-122.678719,MN,STRGHT,PACIFIC HY I-5,9420,4,INJ,398.00,57.00,Overcast,CLR,0,47.43,0.84,0.99,9,DRY,DAY
