crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,crash_severity,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond
1666399,2016-05-01,15:00:00,SUNDAY,Portland N,2,308,45.610944,-122.679308,MN,STRGHT,PACIFIC HY I-5,9456,6,INJ,956.00,55.67,Clear,CLR,0,80.35,6.12,0,9,DRY,DAY
1666510,2016-05-01,14:00:00,SUNDAY,Portland N,2,307,45.595808,-122.684161,MN,STRGHT,PACIFIC HY I-5,9901,6,INJ,935.00,64.00,Clear,CLR,0,77.02,5.23,0.01,9,DRY,DAY
1667193,2016-07-26,16:00:00,TUESDAY,Portland N,2,304,45.556472,-122.678481,MN,STRGHT,PACIFIC HY I-5,9427,6,INJ,915.00,36.67,Clear,CLR,0,78.46,6.03,0,9,DRY,DAY
1667296,2016-08-04,22:00:00,THURSDAY,Portland N,2,304.5,45.566117,-122.678492,MN,STRGHT,PACIFIC HY I-5,9422,6,INJ,547.00,57.67,Clear,CLR,0,77.57,2.28,0,9,DRY,DLIT
1667373,2016-05-06,18:00:00,FRIDAY,Portland N,2,303.5,45.545803,-122.677428,MN,STRGHT,PACIFIC HY I-5,9431,8,INJ,1268.00,55.33,Clear,CLR,0,79.34,4.56,0,9,DRY,DAY
1667430,2016-05-06,15:00:00,FRIDAY,Portland N,2,306.5,45.591933,-122.682531,MN,STRGHT,PACIFIC HY I-5,9412,6,INJ,833.00,63.33,Clear,CLR,0,80.7,3.51,0.09,9,DRY,DAY
1667454,2016-08-22,13:00:00,MONDAY,Portland N,2,308,45.616317,-122.676164,MN,BRIDGE,PACIFIC HY I-5,9457,3,INJ,1190.00,52.00,Mostly Cloudy,CLR,0,68.4,3.46,0.7,9,DRY,DAY
1667605,2016-05-07,14:00:00,SATURDAY,Portland N,2,308,45.613064,-122.678081,MN,BRIDGE,PACIFIC HY I-5,9457,3,INJ,819.00,51.67,Clear,CLR,0,81.69,4.1,0,9,DRY,DAY
1667697,2016-05-08,14:00:00,SUNDAY,Portland SE,2,300.5,45.510489,-122.666633,MN,BRIDGE,PACIFIC HY I-5,9453,3,INJ,1197.00,51.33,Clear,CLR,0,62.97,3.12,0.1,9,DRY,DAY
1667766,2016-05-09,17:00:00,MONDAY,Portland NE,2,302,45.532525,-122.665386,MN,STRGHT,PACIFIC HY I-5,9434,6,INJ,737.00,16.00,Clear,CLR,0,67.11,3.19,0.1,9,DRY,DAY
1667937,2016-05-14,16:00:00,SATURDAY,Portland SW,2,299,45.490192,-122.675033,MN,STRGHT,PACIFIC HY I-5,9480,6,INJ,1524.00,44.00,Light Rain,CLR,0.0189,56.31,2.01,1,2,DRY,DAY
1667962,2016-05-15,13:00:00,SUNDAY,Portland N,2,307,45.602217,-122.683219,MN,STRGHT,PACIFIC HY I-5,609,6,INJ,1013.00,62.00,Light Rain,RAIN,0.0226,55.95,2.92,1,6,WET,DAY
1668200,2016-05-18,14:00:00,WEDNESDAY,Portland Bridges,2,300.5,45.508725,-122.667797,MN,BRIDGE,MARQUAM BRIDGE,9453,3,INJ,504.00,45.00,Mostly Cloudy,CLR,0,71.25,2.21,0.61,9,DRY,DAY
1668287,2016-05-13,16:00:00,FRIDAY,Portland N,2,306,45.583986,-122.6791,MN,STRGHT,PACIFIC HY I-5,9414,6,INJ,959.00,61.33,Clear,CLR,0,88.16,2.92,0.06,9,DRY,DAY
1668348,2016-05-17,13:00:00,TUESDAY,Portland N,2,308,45.613064,-122.678081,MN,BRIDGE,PACIFIC HY I-5,9457,3,INJ,862.00,54.00,Clear,CLR,0,65.85,1.74,0.16,9,DRY,DAY
1668549,2016-05-10,18:00:00,TUESDAY,Portland N,2,305,45.568544,-122.678503,MN,STRGHT,PACIFIC HY I-5,9422,6,INJ,858.00,60.67,Clear,CLR,0,76.3,3.2,0.01,9,DRY,DAY
1668996,2016-05-31,19:00:00,TUESDAY,Portland N,2,304,45.553983,-122.678508,MN,STRGHT,PACIFIC HY I-5,9428,8,INJ,672.00,60.33,Clear,CLR,0,85.67,0.77,0.03,9,DRY,DAY
1668998,2016-05-11,00:00:00,WEDNESDAY,Portland N,2,308,45.616969,-122.675781,MN,BRIDGE,PACIFIC HY I-5,9457,6,INJ,132.00,59.00,Clear,CLR,0,61.9,0.63,0,9,DRY,DAY
1669059,2016-05-11,16:00:00,WEDNESDAY,Portland NE,2,302,45.530503,-122.665167,MN,STRGHT,PACIFIC HY I-5,9434,6,INJ,1210.00,16.00,Clear,CLR,0,84.74,2.92,0,9,DRY,DAY
1669381,2016-06-03,13:00:00,FRIDAY,Portland N,2,305.5,45.576817,-122.678503,MN,STRGHT,PACIFIC HY I-5,9416,5,INJ,1168.00,51.00,Clear,CLR,0,78.29,3.03,0.09,9,DRY,DAY
1669498,2016-05-29,14:00:00,SUNDAY,Portland N,2,308,45.615014,-122.676922,MN,BRIDGE,PACIFIC HY I-5,9457,6,INJ,870.00,56.33,Partly Cloudy,CLR,0,67.83,4.92,0.58,9,DRY,DAY
1669678,2016-05-30,15:00:00,MONDAY,Portland N,2,308,45.616447,-122.676086,MN,BRIDGE,PACIFIC HY I-5,9457,6,INJ,727.00,56.33,Clear,CLR,0,74.98,6.93,0.01,9,DRY,DAY
1669851,2016-05-31,16:00:00,TUESDAY,Portland N,2,303,45.543497,-122.674667,MN,STRGHT,PACIFIC HY I-5,9454,6,INJ,737.00,16.50,Clear,CLR,0,86.57,2.47,0.01,9,DRY,DAY
1670318,2016-06-19,16:00:00,SUNDAY,Portland N,2,302.5,45.539236,-122.670233,MN,STRGHT,PACIFIC HY I-5,9442,4,INJ,455.00,21.00,Clear,CLR,0,76.38,3.17,0,9,DRY,DAY
1670517,2016-06-10,13:00:00,FRIDAY,Portland N,2,306.5,45.590058,-122.681803,MN,STRGHT,PACIFIC HY I-5,9412,6,INJ,1039.00,18.67,Drizzle,RAIN,0.0141,58.32,4.03,0.99,6,WET,DAY
1670601,2016-06-11,02:00:00,SATURDAY,Portland N,2,304,45.553706,-122.678511,MN,STRGHT,PACIFIC HY I-5,9428,8,INJ,229.00,34.67,Overcast,CLD,0.0005,54.15,1.68,1,9,DRY,DLIT
1671059,2016-06-14,15:00:00,TUESDAY,Portland N,2,308,45.615664,-122.676542,MN,BRIDGE,PACIFIC HY I-5,9457,6,INJ,1172.00,54.33,Light Rain,CLR,0.0235,56.86,2.92,0.75,9,DRY,DAY
1671216,2016-06-25,19:00:00,SATURDAY,Portland SW,2,299.5,45.497408,-122.673261,MN,STRGHT,PACIFIC HY I-5,9492,6,INJ,984.00,61.33,Clear,CLR,0,74.5,6.03,0.19,9,DRY,DAY
1671256,2016-06-16,14:00:00,THURSDAY,Portland N,2,305,45.573486,-122.678561,MN,STRGHT,PACIFIC HY I-5,9418,8,INJ,1280.00,54.67,Mostly Cloudy,CLR,0,61.53,2.2,0.66,9,DRY,DAY
1671386,2016-06-27,14:00:00,MONDAY,Portland N,2,306.5,45.592189,-122.682644,MN,STRGHT,PACIFIC HY I-5,9412,6,INJ,1027.00,60.00,Clear,CLR,0,83.66,2.11,0.01,9,DRY,DAY
1671899,2016-06-21,18:00:00,TUESDAY,Portland Bridges,2,300.5,45.507864,-122.669286,MN,BRIDGE,MARQUAM BRIDGE,9453,4,INJ,837.00,52.33,Clear,CLR,0,72.5,6.03,0,9,DRY,DAY
1672309,2016-07-02,13:00:00,SATURDAY,Portland N,2,307,45.595536,-122.684083,MN,STRGHT,PACIFIC HY I-5,9901,6,INJ,1044.00,62.00,Partly Cloudy,CLR,0,73.59,2.04,0.36,9,DRY,DAY
1672887,2016-07-16,15:00:00,SATURDAY,Portland N,2,308,45.616969,-122.675781,MN,BRIDGE,PACIFIC HY I-5,9457,6,INJ,1120.00,54.67,Overcast,CLR,0,70.9,1.31,0.89,9,DRY,DAY
1673452,2016-07-18,13:00:00,MONDAY,Portland SE,2,301,45.517156,-122.666978,MN,STRGHT,PACIFIC HY I-5,9449,4,INJ,1096.00,50.67,Overcast,CLR,0,70.54,4.92,1,9,DRY,DAY
1673723,2016-07-19,15:00:00,TUESDAY,Portland N,2,305,45.573486,-122.678561,MN,STRGHT,PACIFIC HY I-5,9418,8,INJ,1078.00,57.00,Mostly Cloudy,CLR,0,73.95,4.92,0.81,9,DRY,DAY
1674020,2016-07-29,16:00:00,FRIDAY,Portland N,2,306.5,45.592572,-122.682814,MN,STRGHT,PACIFIC HY I-5,9412,6,INJ,819.00,59.67,Clear,CLR,0,90.17,3.83,0,9,DRY,DAY
1674566,2016-07-30,16:00:00,SATURDAY,Portland N,2,307.5,45.603739,-122.682756,MN,STRGHT,PACIFIC HY I-5,9101,6,INJ,369.00,65.00,Clear,CLR,0,78.83,4.92,0,9,DRY,DAY
1674994,2016-09-01,19:00:00,THURSDAY,Portland SW,2,299.5,45.497703,-122.67325,MN,INTER,PACIFIC HY I-5,9492,,INJ,980.00,58.67,Overcast,RAIN,0,67.65,0.91,1,9,WET,DUSK
1675068,2016-08-11,07:00:00,THURSDAY,Portland NE,2,302.5,45.5342,-122.666119,MN,STRGHT,PACIFIC HY I-5,9434,6,INJ,0.00,,Overcast,CLR,0,61.18,0.22,0.91,9,DRY,DAY
1675277,2016-08-13,14:00:00,SATURDAY,Portland N,2,308,45.617878,-122.675239,MN,BRIDGE,PACIFIC HY I-5,9457,3,INJ,803.00,55.33,Clear,CLR,0,89.99,1.68,0.09,9,DRY,DAY
1675343,2016-08-14,19:00:00,SUNDAY,Portland N,2,303,45.543606,-122.6748,MN,STRGHT,PACIFIC HY I-5,9454,6,INJ,732.00,63.50,Clear,CLR,0,83.49,3.74,0,9,DRY,DAY
1675681,2016-09-07,13:00:00,WEDNESDAY,Portland NE,2,302,45.530367,-122.665167,MN,BRIDGE,PACIFIC HY I-5,9434,6,INJ,1280.00,39.00,Overcast,CLR,0,66.57,1.2,1,9,DRY,DAY
1675721,2016-09-08,00:00:00,THURSDAY,Portland NE,2,302.5,45.534925,-122.666636,MN,STRGHT,PACIFIC HY I-5,9434,4,INJ,0.00,,Overcast,CLR,0,59.78,2.01,0.92,9,DRY,DAY
1675915,2016-09-25,15:00:00,SUNDAY,Portland N,2,308,45.609792,-122.679967,MN,INTER,PACIFIC HY I-5,9456,,INJ,1077.00,55.67,Clear,CLR,0,77.93,2.89,0,9,DRY,DAY
1676132,2016-08-21,15:00:00,SUNDAY,Portland Bridges,2,300.5,45.507864,-122.669286,MN,BRIDGE,MARQUAM BRIDGE,9452,3,INJ,1105.00,48.33,Clear,CLR,0,79.33,6.03,0,9,DRY,DAY
1676179,2016-09-26,16:00:00,MONDAY,Portland Bridges,2,300.5,45.508208,-122.668692,MN,BRIDGE,MARQUAM BRIDGE,9551,8,INJ,1027.00,52.33,Clear,CLR,0,86.36,0.91,0,9,DRY,DAY
1676255,2016-09-28,00:00:00,WEDNESDAY,Portland NE,2,302,45.528147,-122.665211,MN,STRGHT,PACIFIC HY I-5,9434,4,INJ,231.00,59.00,Clear,CLR,0,59.03,1.04,0,9,DRY,DAY
1676264,2016-08-23,15:00:00,TUESDAY,Portland N,2,306.5,45.589622,-122.681611,MN,BRIDGE,PACIFIC HY I-5,9412,6,INJ,0.00,,Clear,CLR,0,81.47,3.67,0,9,DRY,DAY
1676277,2016-08-23,19:00:00,TUESDAY,Portland N,2,307.5,45.607189,-122.681553,MN,BRIDGE,PACIFIC HY I-5,9101,6,INJ,222.00,69.00,Clear,CLR,0,81.32,6.93,0,9,DRY,DAY
1676547,2016-08-24,00:00:00,WEDNESDAY,Portland SW,2,299.5,45.497114,-122.673275,MN,STRGHT,PACIFIC HY I-5,9492,6,INJ,236.00,62.33,Clear,CLR,0,68.36,0.87,0,9,DRY,DAY
1676549,2016-09-24,11:00:00,SATURDAY,Portland Bridges,2,300.5,45.508467,-122.668244,MN,BRIDGE,MARQUAM BRIDGE,9453,4,INJ,1112.00,49.67,Overcast,CLR,0,52.72,0.73,1,9,DRY,DAY
1676676,2016-09-04,17:00:00,SUNDAY,Portland N,2,308,45.6141,-122.677453,MN,BRIDGE,PACIFIC HY I-5,9457,6,INJ,994.00,58.33,Clear,CLR,0,68.91,1,0.05,9,DRY,DAY
1676725,2016-09-27,18:00:00,TUESDAY,Portland N,2,303.5,45.552233,-122.678525,MN,STRGHT,PACIFIC HY I-5,9428,8,INJ,1136.00,54.00,Clear,CLR,0,71.25,8.05,0,9,DRY,DAY
1676790,2016-09-10,15:00:00,SATURDAY,Portland SE,2,300.5,45.511153,-122.666828,MN,INTER,PACIFIC HY I-5,9452,,INJ,1352.00,50.33,Clear,CLR,0,83.27,2.47,0.01,9,DRY,DAY
1677187,2016-08-25,17:00:00,THURSDAY,Portland N,2,305,45.568686,-122.678503,MN,STRGHT,PACIFIC HY I-5,9422,6,INJ,1036.00,57.33,Clear,CLR,0,92.52,8.96,0,9,DRY,DAY
1677669,2016-09-15,17:00:00,THURSDAY,Portland N,2,307.5,45.608203,-122.680939,MN,BRIDGE,PACIFIC HY I-5,9456,8,INJ,333.00,67.00,Clear,CLR,0,77.02,1.13,0,9,DRY,DAY
1677710,2016-08-31,18:00:00,WEDNESDAY,Portland N,2,304,45.552714,-122.678517,MN,STRGHT,PACIFIC HY I-5,9428,8,INJ,1095.00,57.67,Possible Drizzle,CLR,0.0143,68.19,2.01,1,9,DRY,DAY
1678464,2016-09-21,07:00:00,WEDNESDAY,Portland SE,2,300.5,45.511153,-122.666828,MN,INTER,PACIFIC HY I-5,9460,,INJ,1431.00,51.00,Overcast,CLR,0,51.44,0.34,0.95,9,DRY,DAWN
1678693,2016-09-24,13:00:00,SATURDAY,Portland N,2,302.5,45.538769,-122.669844,MN,INTER,PACIFIC HY I-5,9433,,INJ,0.00,,Clear,CLR,0,61.96,1.55,0.26,9,DRY,DAY
1678995,2016-10-11,15:00:00,TUESDAY,Portland SE,2,300.5,45.510758,-122.666689,MN,BRIDGE,PACIFIC HY I-5,9460,4,INJ,825.00,50.00,Clear,CLR,0,62.97,5.19,0,9,DRY,DAY
1679141,2016-10-15,09:00:00,SATURDAY,Portland N,2,303,45.541508,-122.672286,MN,BRIDGE,PACIFIC HY I-5,9454,6,INJ,1101.00,59.50,Light Rain,RAIN,0.0456,53.61,6.03,1,9,WET,DAY
1679160,2016-10-16,16:00:00,SUNDAY,Portland SE,2,301.5,45.521447,-122.665544,MN,INTER,PACIFIC HY I-5,9449,,INJ,1430.00,50.00,Light Rain,RAIN,0.0283,53.98,1.69,1,9,WET,DAY
1679500,2016-01-28,15:00:00,THURSDAY,Portland N,2,305,45.568117,-122.678503,MN,STRGHT,PACIFIC HY I-5,9422,6,INJ,1143.00,57.33,Partly Cloudy,CLR,0,58.11,6.03,0.46,9,DRY,DAY
1679976,2016-10-19,15:00:00,WEDNESDAY,Portland N,2,306.5,45.592317,-122.6827,MN,STRGHT,PACIFIC HY I-5,9412,6,INJ,831.00,61.00,Overcast,CLR,0,58.47,6.03,1,9,DRY,DAY
1679992,2016-10-19,14:00:00,WEDNESDAY,Portland N,2,308,45.6095,-122.680136,MN,STRGHT,PACIFIC HY I-5,9456,4,INJ,1026.00,55.67,Mostly Cloudy,CLR,0,58.11,4.92,0.62,9,DRY,DAY
1680020,2016-03-31,15:00:00,THURSDAY,Portland N,2,303.5,45.548694,-122.678528,MN,STRGHT,PACIFIC HY I-5,9431,8,INJ,646.00,14.50,Clear,CLR,0,72.69,2.22,0.2,9,DRY,DAY
1680035,2016-03-26,20:00:00,SATURDAY,Portland N,2,304.5,45.562947,-122.678442,MN,STRGHT,PACIFIC HY I-5,9423,6,INJ,582.00,54.67,Drizzle,RAIN,0.0138,53.08,1.37,1,5,WET,DUSK
1680334,2016-10-25,10:00:00,TUESDAY,Portland NE,2,302,45.531456,-122.665194,MN,STRGHT,PACIFIC HY I-5,9434,6,INJ,1299.00,36.00,Overcast,CLR,0.0005,55.05,0.53,1,9,DRY,DAY
1680395,2016-10-11,17:00:00,TUESDAY,Portland SW,2,299.5,45.497261,-122.673267,MN,STRGHT,PACIFIC HY I-5,9492,6,INJ,1403.00,25.00,Clear,CLR,0,63.51,8.05,0,9,DRY,DAY
1680808,2016-11-01,15:00:00,TUESDAY,Portland N,2,305.5,45.576231,-122.678508,MN,STRGHT,PACIFIC HY I-5,9416,6,INJ,831.00,55.33,Mostly Cloudy,CLR,0,60.28,4.75,0.71,9,DRY,DAY
1681723,2016-10-31,15:00:00,MONDAY,Portland N,2,306.5,45.594489,-122.683664,MN,STRGHT,PACIFIC HY I-5,9901,6,INJ,815.00,61.33,Overcast,CLR,0.0009,56.86,0.43,1,9,DRY,DAY
1682051,2016-11-23,00:00:00,WEDNESDAY,Portland Bridges,2,300.5,45.507778,-122.669436,MN,BRIDGE,MARQUAM BRIDGE,9551,6,INJ,266.00,50.33,Light Rain,CLR,0.0685,45.81,4.03,1,9,DRY,DAY
1682094,2016-10-29,13:00:00,SATURDAY,Portland N,2,308,45.613194,-122.678003,MN,BRIDGE,PACIFIC HY I-5,9457,3,INJ,1190.00,55.00,Partly Cloudy,CLR,0,57.57,4.03,0.32,9,DRY,DAY
1682132,2016-10-28,17:00:00,FRIDAY,Portland SE,2,300.5,45.510889,-122.666731,MN,BRIDGE,SB EX MARQUAM BR,302,4,INJ,947.00,27.00,Clear,CLR,0,64.05,6.03,0,9,DRY,DAY
1682341,2016-12-03,16:00:00,SATURDAY,Portland N,2,306,45.584978,-122.679519,MN,STRGHT,PACIFIC HY I-5,9414,4,INJ,1069.00,52.00,Possible Drizzle,CLR,0.0044,50.56,0.91,1,9,DRY,DUSK
1682384,2016-11-21,14:00:00,MONDAY,Portland N,2,306.5,45.591383,-122.682308,MN,STRGHT,PACIFIC HY I-5,9412,6,INJ,795.00,60.33,Mostly Cloudy,CLR,0.0005,55.42,2.44,0.62,9,DRY,DAY
1682391,2016-11-23,00:00:00,WEDNESDAY,Portland N,2,306,45.583986,-122.6791,MN,BRIDGE,PACIFIC HY I-5,9414,6,INJ,142.00,63.33,Light Rain,CLR,0.0685,45.81,4.03,1,9,DRY,DAY
