crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,vehicleid,partic_type,age,gender,vehicle_type,striking_vehicle,collision_type,crash_severity,injury_severity,vehicle_movement,vehicle_direction,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond,speeding,alcohol,drug
1687245,2016-01-12,16:00:00,TUESDAY,Portland N,1,304,45.553167,-122.678753,MN,STRGHT,PACIFIC HY I-5,9429,6,3186062,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,S,507.00,8.00,Light Rain,RAIN,0.0861,42.17,4.27,1,5,WET,DAY,f,f,f
1687245,2016-01-12,16:00:00,TUESDAY,Portland N,1,304,45.553167,-122.678753,MN,STRGHT,PACIFIC HY I-5,9429,6,3186061,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,507.00,8.00,Light Rain,RAIN,0.0861,42.17,4.27,1,5,WET,DAY,f,f,f
1687700,2016-01-13,06:00:00,WEDNESDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,3186812,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,S,882.00,53.50,Light Rain,RAIN,0.0409,45.29,1.41,1,8,WET,DLIT,f,f,f
1687700,2016-01-13,06:00:00,WEDNESDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,3186811,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,882.00,53.50,Light Rain,RAIN,0.0409,45.29,1.41,1,8,WET,DLIT,f,f,f
1657252,2016-01-14,05:00:00,THURSDAY,Portland NE,1,301.5,45.525956,-122.665436,MN,STRGHT,PACIFIC HY I-5,9448,6,3128846,DRVR,45,2,PSNGR CAR,t,SS-O,INJ,INJC,STRGHT,S,436.00,55.50,Drizzle,RAIN,0.0076,42.34,0.26,1,6,WET,DARK,f,f,f
1657252,2016-01-14,05:00:00,THURSDAY,Portland NE,1,301.5,45.525956,-122.665436,MN,STRGHT,PACIFIC HY I-5,9448,6,3128847,DRVR,59,1,SEMI TOW,f,SS-O,INJ,NONE,STRGHT,S,436.00,55.50,Drizzle,RAIN,0.0076,42.34,0.26,1,6,WET,DARK,f,f,f
1683342,2016-01-15,05:00:00,FRIDAY,Portland N,1,305,45.573064,-122.678742,MN,STRGHT,PACIFIC HY I-5,9420,4,3178493,DRVR,35,2,PSNGR CAR,t,FIX,INJ,INJC,STRGHT,S,542.00,56.50,Overcast,RAIN,0.001,42.29,0.92,0.89,9,WET,DLIT,f,f,f
1688280,2016-01-16,14:00:00,SATURDAY,Portland N,1,305,45.571664,-122.678733,MN,STRGHT,PACIFIC HY I-5,9420,6,3187850,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,1008.00,31.50,Light Rain,RAIN,0.034,49.59,6.04,0.96,9,WET,DAY,f,f,f
1688280,2016-01-16,14:00:00,SATURDAY,Portland N,1,305,45.571664,-122.678733,MN,STRGHT,PACIFIC HY I-5,9420,6,3187851,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STRGHT,S,1008.00,31.50,Light Rain,RAIN,0.034,49.59,6.04,0.96,9,WET,DAY,f,f,f
1642319,2016-01-17,17:00:00,SUNDAY,Portland SW,1,299.5,45.493892,-122.673636,MN,STRGHT,PACIFIC HY I-5,9481,6,3101244,DRVR,56,2,PSNGR CAR,t,PED,FAT,NONE,STRGHT,S,967.00,55.00,Mostly Cloudy,CLD,0.0008,46.75,1.15,0.71,9,DRY,DLIT,f,f,f
1642319,2016-01-17,17:00:00,SUNDAY,Portland SW,1,299.5,45.493892,-122.673636,MN,STRGHT,PACIFIC HY I-5,9481,6,,PED,68,1,,f,PED,FAT,KILL,,,967.00,55.00,Mostly Cloudy,CLD,0.0008,46.75,1.15,0.71,9,DRY,DLIT,f,f,f
1689398,2016-01-27,07:00:00,WEDNESDAY,Portland N,1,305,45.570564,-122.678714,MN,STRGHT,PACIFIC HY I-5,9420,6,3189923,DRVR,0,9,PSNGR CAR,f,SS-O,PDO,NONE,STRGHT,S,1071.00,55.00,Overcast,CLR,0,49.39,0.86,1,9,DRY,DAWN,f,f,f
1689398,2016-01-27,07:00:00,WEDNESDAY,Portland N,1,305,45.570564,-122.678714,MN,STRGHT,PACIFIC HY I-5,9420,6,3189922,DRVR,0,9,PSNGR CAR,t,SS-O,PDO,NONE,STRGHT,S,1071.00,55.00,Overcast,CLR,0,49.39,0.86,1,9,DRY,DAWN,f,f,f
1689203,2016-01-28,16:00:00,THURSDAY,Portland N,1,304,45.558308,-122.678686,MN,STRGHT,PACIFIC HY I-5,9425,6,3189549,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,S,480.00,6.50,Clear,CLR,0,56.68,4.03,0.27,9,DRY,DAY,f,f,f
1689203,2016-01-28,16:00:00,THURSDAY,Portland N,1,304,45.558308,-122.678686,MN,STRGHT,PACIFIC HY I-5,9425,6,3189548,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,480.00,6.50,Clear,CLR,0,56.68,4.03,0.27,9,DRY,DAY,f,f,f
1687941,2016-01-30,04:00:00,SATURDAY,Portland N,1,308,45.611922,-122.680753,CN,INTER,N CENTER AVE,9459,,3187217,DRVR,0,9,PSNGR CAR,t,SS-O,PDO,NONE,STRGHT,N,127.00,59.33,Light Rain,RAIN,0.0269,40.82,2.01,1,5,WET,DLIT,f,f,f
1687941,2016-01-30,04:00:00,SATURDAY,Portland N,1,308,45.611922,-122.680753,CN,INTER,N CENTER AVE,9459,,3187218,DRVR,0,9,PSNGR CAR,f,SS-O,PDO,NONE,STRGHT,N,127.00,59.33,Light Rain,RAIN,0.0269,40.82,2.01,1,5,WET,DLIT,f,f,f
1657684,2016-01-30,20:00:00,SATURDAY,Portland N,1,308,45.605275,-122.684772,CN,STRGHT,SB EXTO MARINE DR,1617,1,,PED,41,1,,f,PED,INJ,INJB,,,703.00,57.00,Possible Drizzle,CLR,0.0037,39.46,0.91,0.4,9,DRY,DARK,f,t,f
1657684,2016-01-30,20:00:00,SATURDAY,Portland N,1,308,45.605275,-122.684772,CN,STRGHT,SB EXTO MARINE DR,1617,1,3129647,DRVR,33,1,PSNGR CAR,t,PED,INJ,NONE,STRGHT,NE,703.00,57.00,Possible Drizzle,CLR,0.0037,39.46,0.91,0.4,9,DRY,DARK,f,t,f
1659124,2016-02-08,15:00:00,MONDAY,Portland SW,1,299.5,45.490114,-122.675353,MN,STRGHT,PACIFIC HY I-5,9481,6,3132274,DRVR,57,1,PSNGR CAR,f,SS-O,INJ,INJC,STRGHT,N,709.00,57.00,Clear,CLR,0,61.62,5.21,0.01,9,DRY,DAY,f,f,f
1659124,2016-02-08,15:00:00,MONDAY,Portland SW,1,299.5,45.490114,-122.675353,MN,STRGHT,PACIFIC HY I-5,9481,6,3132275,DRVR,43,1,PSNGR CAR,f,SS-O,INJ,NONE,STRGHT,N,709.00,57.00,Clear,CLR,0,61.62,5.21,0.01,9,DRY,DAY,f,f,f
1659124,2016-02-08,15:00:00,MONDAY,Portland SW,1,299.5,45.490114,-122.675353,MN,STRGHT,PACIFIC HY I-5,9481,6,3132273,DRVR,55,1,SEMI TOW,t,SS-O,INJ,NONE,STRGHT,N,709.00,57.00,Clear,CLR,0,61.62,5.21,0.01,9,DRY,DAY,f,f,f
1691448,2016-02-08,16:00:00,MONDAY,Portland N,1,308,45.613106,-122.678422,MN,BRIDGE,PACIFIC HY I-5,9458,3,3193460,DRVR,0,9,PSNGR CAR,t,SS-O,PDO,NONE,STRGHT,S,803.00,23.00,Clear,CLR,0,60.84,5.46,0.01,9,DRY,DAY,f,f,f
1691448,2016-02-08,16:00:00,MONDAY,Portland N,1,308,45.613106,-122.678422,MN,BRIDGE,PACIFIC HY I-5,9458,3,3193461,DRVR,0,9,PSNGR CAR,f,SS-O,PDO,NONE,STRGHT,S,803.00,23.00,Clear,CLR,0,60.84,5.46,0.01,9,DRY,DAY,f,f,f
1690727,2016-02-10,15:00:00,WEDNESDAY,Portland N,1,305,45.573256,-122.678739,MN,STRGHT,PACIFIC HY I-5,9420,8,3192294,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,S,847.00,16.50,Mostly Cloudy,CLR,0,60.28,4.92,0.74,9,DRY,DAY,f,f,f
1690727,2016-02-10,15:00:00,WEDNESDAY,Portland N,1,305,45.573256,-122.678739,MN,STRGHT,PACIFIC HY I-5,9420,8,3192293,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,847.00,16.50,Mostly Cloudy,CLR,0,60.28,4.92,0.74,9,DRY,DAY,f,f,f
1659473,2016-02-13,15:00:00,SATURDAY,Portland SW,1,300,45.505622,-122.673478,MN,BRIDGE,SB EF MARQUAM BR,9496,2,3132927,DRVR,44,1,PSNGR CAR,t,REAR,INJ,NONE,STRGHT,SE,850.00,35.00,Overcast,RAIN,0.0006,51.21,6.93,1,9,WET,DAY,f,f,f
1659473,2016-02-13,15:00:00,SATURDAY,Portland SW,1,300,45.505622,-122.673478,MN,BRIDGE,SB EF MARQUAM BR,9496,2,3132928,DRVR,57,2,PSNGR CAR,f,REAR,INJ,INJC,STRGHT,SE,850.00,35.00,Overcast,RAIN,0.0006,51.21,6.93,1,9,WET,DAY,f,f,f
1691939,2016-02-16,05:00:00,TUESDAY,Portland SW,1,300,45.503164,-122.674572,MN,STRGHT,SB EF MARQUAM BR,9496,2,3194274,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STRGHT,S,524.00,56.50,Light Rain,RAIN,0.0343,48.56,1.42,1,7,WET,DLIT,f,f,f
1691939,2016-02-16,05:00:00,TUESDAY,Portland SW,1,300,45.503164,-122.674572,MN,STRGHT,SB EF MARQUAM BR,9496,2,3194273,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,524.00,56.50,Light Rain,RAIN,0.0343,48.56,1.42,1,7,WET,DLIT,f,f,f
1691652,2016-02-17,15:00:00,WEDNESDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,3193799,DRVR,0,9,PSNGR CAR,f,SS-O,PDO,NONE,STRGHT,S,1094.00,23.50,Mostly Cloudy,CLR,0,62.85,3.67,0.8,9,DRY,DAY,f,f,f
